id,date,store_nbr,family,sales,onpromotion
2838726,2017-05-17,1,AUTOMOTIVE,2.0,0
2838727,2017-05-17,1,BABY CARE,0.0,0
2838728,2017-05-17,1,BEAUTY,5.0,1
2838729,2017-05-17,1,BEVERAGES,2374.0,31
2838730,2017-05-17,1,BOOKS,1.0,0
2838731,2017-05-17,1,BREAD/BAKERY,468.181,5
2838732,2017-05-17,1,CELEBRATION,29.0,0
2838733,2017-05-17,1,CLEANING,841.0,26
2838734,2017-05-17,1,DAIRY,828.0,25
2838735,2017-05-17,1,DELI,144.168,9
2838736,2017-05-17,1,EGGS,136.0,1
2838737,2017-05-17,1,FROZEN FOODS,115.0,1
2838738,2017-05-17,1,GROCERY I,3131.0,40
2838739,2017-05-17,1,GROCERY II,42.0,0
2838740,2017-05-17,1,HARDWARE,2.0,0
2838741,2017-05-17,1,HOME AND KITCHEN I,14.0,0
2838742,2017-05-17,1,HOME AND KITCHEN II,22.0,3
2838743,2017-05-17,1,HOME APPLIANCES,0.0,0
2838744,2017-05-17,1,HOME CARE,216.0,7
2838745,2017-05-17,1,LADIESWEAR,20.0,0
2838746,2017-05-17,1,LAWN AND GARDEN,20.0,6
2838747,2017-05-17,1,LINGERIE,21.0,1
2838748,2017-05-17,1,"LIQUOR,WINE,BEER",75.0,2
2838749,2017-05-17,1,MAGAZINES,5.0,0
2838750,2017-05-17,1,MEATS,300.755,0
2838751,2017-05-17,1,PERSONAL CARE,147.0,8
2838752,2017-05-17,1,PET SUPPLIES,6.0,0
2838753,2017-05-17,1,PLAYERS AND ELECTRONICS,15.0,0
2838754,2017-05-17,1,POULTRY,318.311,0
2838755,2017-05-17,1,PREPARED FOODS,59.828,1
2838756,2017-05-17,1,PRODUCE,4211.83,204
2838757,2017-05-17,1,SCHOOL AND OFFICE SUPPLIES,1.0,0
2838758,2017-05-17,1,SEAFOOD,23.303,1
2838759,2017-05-17,10,AUTOMOTIVE,4.0,0
2838760,2017-05-17,10,BABY CARE,0.0,0
2838761,2017-05-17,10,BEAUTY,3.0,2
2838762,2017-05-17,10,BEVERAGES,892.0,18
2838763,2017-05-17,10,BOOKS,0.0,0
2838764,2017-05-17,10,BREAD/BAKERY,114.0,3
2838765,2017-05-17,10,CELEBRATION,3.0,0
2838766,2017-05-17,10,CLEANING,631.0,27
2838767,2017-05-17,10,DAIRY,378.0,75
2838768,2017-05-17,10,DELI,180.0,6
2838769,2017-05-17,10,EGGS,16.0,0
2838770,2017-05-17,10,FROZEN FOODS,19.249,2
2838771,2017-05-17,10,GROCERY I,2847.0,59
2838772,2017-05-17,10,GROCERY II,0.0,0
2838773,2017-05-17,10,HARDWARE,0.0,0
2838774,2017-05-17,10,HOME AND KITCHEN I,13.0,1
2838775,2017-05-17,10,HOME AND KITCHEN II,4.0,1
2838776,2017-05-17,10,HOME APPLIANCES,0.0,0
2838777,2017-05-17,10,HOME CARE,152.0,10
2838778,2017-05-17,10,LADIESWEAR,1.0,0
2838779,2017-05-17,10,LAWN AND GARDEN,0.0,0
2838780,2017-05-17,10,LINGERIE,0.0,0
2838781,2017-05-17,10,"LIQUOR,WINE,BEER",5.0,1
2838782,2017-05-17,10,MAGAZINES,0.0,0
2838783,2017-05-17,10,MEATS,160.053,0
2838784,2017-05-17,10,PERSONAL CARE,147.0,13
2838785,2017-05-17,10,PET SUPPLIES,0.0,0
2838786,2017-05-17,10,PLAYERS AND ELECTRONICS,2.0,0
2838787,2017-05-17,10,POULTRY,175.193,0
2838788,2017-05-17,10,PREPARED FOODS,29.0,0
2838789,2017-05-17,10,PRODUCE,205.63,2
2838790,2017-05-17,10,SCHOOL AND OFFICE SUPPLIES,0.0,0
2838791,2017-05-17,10,SEAFOOD,0.0,0
2838792,2017-05-17,11,AUTOMOTIVE,9.0,0
2838793,2017-05-17,11,BABY CARE,0.0,0
2838794,2017-05-17,11,BEAUTY,4.0,2
2838795,2017-05-17,11,BEVERAGES,3731.0,31
2838796,2017-05-17,11,BOOKS,0.0,0
2838797,2017-05-17,11,BREAD/BAKERY,539.0,5
2838798,2017-05-17,11,CELEBRATION,11.0,0
2838799,2017-05-17,11,CLEANING,1698.0,50
2838800,2017-05-17,11,DAIRY,667.0,135
2838801,2017-05-17,11,DELI,401.751,9
2838802,2017-05-17,11,EGGS,87.0,1
2838803,2017-05-17,11,FROZEN FOODS,77.0,5
2838804,2017-05-17,11,GROCERY I,6115.406,72
2838805,2017-05-17,11,GROCERY II,15.0,0
2838806,2017-05-17,11,HARDWARE,1.0,0
2838807,2017-05-17,11,HOME AND KITCHEN I,25.0,1
2838808,2017-05-17,11,HOME AND KITCHEN II,46.0,3
2838809,2017-05-17,11,HOME APPLIANCES,3.0,0
2838810,2017-05-17,11,HOME CARE,482.0,17
2838811,2017-05-17,11,LADIESWEAR,17.0,0
2838812,2017-05-17,11,LAWN AND GARDEN,1.0,0
2838813,2017-05-17,11,LINGERIE,28.0,1
2838814,2017-05-17,11,"LIQUOR,WINE,BEER",37.0,3
2838815,2017-05-17,11,MAGAZINES,0.0,0
2838816,2017-05-17,11,MEATS,495.163,0
2838817,2017-05-17,11,PERSONAL CARE,359.0,20
2838818,2017-05-17,11,PET SUPPLIES,4.0,0
2838819,2017-05-17,11,PLAYERS AND ELECTRONICS,13.0,0
2838820,2017-05-17,11,POULTRY,395.311,0
2838821,2017-05-17,11,PREPARED FOODS,76.666,0
2838822,2017-05-17,11,PRODUCE,1008.205,7
2838823,2017-05-17,11,SCHOOL AND OFFICE SUPPLIES,8.0,3
2838824,2017-05-17,11,SEAFOOD,8.0,1
2838825,2017-05-17,12,AUTOMOTIVE,5.0,0
2838826,2017-05-17,12,BABY CARE,0.0,0
2838827,2017-05-17,12,BEAUTY,1.0,1
2838828,2017-05-17,12,BEVERAGES,1654.0,20
2838829,2017-05-17,12,BOOKS,0.0,0
2838830,2017-05-17,12,BREAD/BAKERY,164.0,2
2838831,2017-05-17,12,CELEBRATION,3.0,0
2838832,2017-05-17,12,CLEANING,637.0,32
2838833,2017-05-17,12,DAIRY,678.0,104
2838834,2017-05-17,12,DELI,285.0,5
2838835,2017-05-17,12,EGGS,25.0,0
2838836,2017-05-17,12,FROZEN FOODS,39.0,3
2838837,2017-05-17,12,GROCERY I,2711.0,55
2838838,2017-05-17,12,GROCERY II,2.0,0
2838839,2017-05-17,12,HARDWARE,0.0,0
2838840,2017-05-17,12,HOME AND KITCHEN I,12.0,1
2838841,2017-05-17,12,HOME AND KITCHEN II,18.0,1
2838842,2017-05-17,12,HOME APPLIANCES,0.0,0
2838843,2017-05-17,12,HOME CARE,176.0,15
2838844,2017-05-17,12,LADIESWEAR,8.0,0
2838845,2017-05-17,12,LAWN AND GARDEN,0.0,0
2838846,2017-05-17,12,LINGERIE,1.0,0
2838847,2017-05-17,12,"LIQUOR,WINE,BEER",16.0,3
2838848,2017-05-17,12,MAGAZINES,0.0,0
2838849,2017-05-17,12,MEATS,130.302,0
2838850,2017-05-17,12,PERSONAL CARE,156.0,16
2838851,2017-05-17,12,PET SUPPLIES,1.0,0
2838852,2017-05-17,12,PLAYERS AND ELECTRONICS,6.0,0
2838853,2017-05-17,12,POULTRY,103.427,0
2838854,2017-05-17,12,PREPARED FOODS,25.0,0
2838855,2017-05-17,12,PRODUCE,348.867,5
2838856,2017-05-17,12,SCHOOL AND OFFICE SUPPLIES,0.0,0
2838857,2017-05-17,12,SEAFOOD,4.0,0
2838858,2017-05-17,13,AUTOMOTIVE,3.0,0
2838859,2017-05-17,13,BABY CARE,0.0,0
2838860,2017-05-17,13,BEAUTY,1.0,1
2838861,2017-05-17,13,BEVERAGES,1393.0,15
2838862,2017-05-17,13,BOOKS,0.0,0
2838863,2017-05-17,13,BREAD/BAKERY,90.0,2
2838864,2017-05-17,13,CELEBRATION,11.0,0
2838865,2017-05-17,13,CLEANING,612.0,34
2838866,2017-05-17,13,DAIRY,378.0,81
2838867,2017-05-17,13,DELI,142.0,6
2838868,2017-05-17,13,EGGS,72.0,1
2838869,2017-05-17,13,FROZEN FOODS,31.0,4
2838870,2017-05-17,13,GROCERY I,2580.0,52
2838871,2017-05-17,13,GROCERY II,7.0,0
2838872,2017-05-17,13,HARDWARE,0.0,0
2838873,2017-05-17,13,HOME AND KITCHEN I,33.0,1
2838874,2017-05-17,13,HOME AND KITCHEN II,8.0,1
2838875,2017-05-17,13,HOME APPLIANCES,0.0,0
2838876,2017-05-17,13,HOME CARE,104.0,15
2838877,2017-05-17,13,LADIESWEAR,2.0,0
2838878,2017-05-17,13,LAWN AND GARDEN,0.0,0
2838879,2017-05-17,13,LINGERIE,4.0,0
2838880,2017-05-17,13,"LIQUOR,WINE,BEER",8.0,2
2838881,2017-05-17,13,MAGAZINES,0.0,0
2838882,2017-05-17,13,MEATS,129.699,0
2838883,2017-05-17,13,PERSONAL CARE,174.0,14
2838884,2017-05-17,13,PET SUPPLIES,0.0,0
2838885,2017-05-17,13,PLAYERS AND ELECTRONICS,3.0,0
2838886,2017-05-17,13,POULTRY,33.641,0
2838887,2017-05-17,13,PREPARED FOODS,17.0,0
2838888,2017-05-17,13,PRODUCE,126.547,2
2838889,2017-05-17,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
2838890,2017-05-17,13,SEAFOOD,5.0,0
2838891,2017-05-17,14,AUTOMOTIVE,0.0,0
2838892,2017-05-17,14,BABY CARE,0.0,0
2838893,2017-05-17,14,BEAUTY,1.0,1
2838894,2017-05-17,14,BEVERAGES,1024.0,15
2838895,2017-05-17,14,BOOKS,0.0,0
2838896,2017-05-17,14,BREAD/BAKERY,114.0,2
2838897,2017-05-17,14,CELEBRATION,1.0,0
2838898,2017-05-17,14,CLEANING,1005.0,36
2838899,2017-05-17,14,DAIRY,530.0,92
2838900,2017-05-17,14,DELI,217.0,5
2838901,2017-05-17,14,EGGS,24.0,0
2838902,2017-05-17,14,FROZEN FOODS,54.169,3
2838903,2017-05-17,14,GROCERY I,2193.0,51
2838904,2017-05-17,14,GROCERY II,5.0,0
2838905,2017-05-17,14,HARDWARE,0.0,0
2838906,2017-05-17,14,HOME AND KITCHEN I,16.0,1
2838907,2017-05-17,14,HOME AND KITCHEN II,16.0,1
2838908,2017-05-17,14,HOME APPLIANCES,0.0,0
2838909,2017-05-17,14,HOME CARE,171.0,12
2838910,2017-05-17,14,LADIESWEAR,3.0,0
2838911,2017-05-17,14,LAWN AND GARDEN,0.0,0
2838912,2017-05-17,14,LINGERIE,4.0,1
2838913,2017-05-17,14,"LIQUOR,WINE,BEER",18.0,1
2838914,2017-05-17,14,MAGAZINES,0.0,0
2838915,2017-05-17,14,MEATS,186.78801,0
2838916,2017-05-17,14,PERSONAL CARE,317.0,16
2838917,2017-05-17,14,PET SUPPLIES,1.0,0
2838918,2017-05-17,14,PLAYERS AND ELECTRONICS,8.0,0
2838919,2017-05-17,14,POULTRY,90.791,0
2838920,2017-05-17,14,PREPARED FOODS,98.0,0
2838921,2017-05-17,14,PRODUCE,269.445,4
2838922,2017-05-17,14,SCHOOL AND OFFICE SUPPLIES,0.0,0
2838923,2017-05-17,14,SEAFOOD,5.0,0
2838924,2017-05-17,15,AUTOMOTIVE,4.0,0
2838925,2017-05-17,15,BABY CARE,0.0,0
2838926,2017-05-17,15,BEAUTY,2.0,2
2838927,2017-05-17,15,BEVERAGES,1592.0,21
2838928,2017-05-17,15,BOOKS,0.0,0
2838929,2017-05-17,15,BREAD/BAKERY,174.0,1
2838930,2017-05-17,15,CELEBRATION,6.0,0
2838931,2017-05-17,15,CLEANING,999.0,36
2838932,2017-05-17,15,DAIRY,545.0,108
2838933,2017-05-17,15,DELI,304.0,7
2838934,2017-05-17,15,EGGS,38.0,0
2838935,2017-05-17,15,FROZEN FOODS,75.0,2
2838936,2017-05-17,15,GROCERY I,3056.0,55
2838937,2017-05-17,15,GROCERY II,14.0,0
2838938,2017-05-17,15,HARDWARE,2.0,0
2838939,2017-05-17,15,HOME AND KITCHEN I,20.0,1
2838940,2017-05-17,15,HOME AND KITCHEN II,22.0,1
2838941,2017-05-17,15,HOME APPLIANCES,0.0,0
2838942,2017-05-17,15,HOME CARE,233.0,16
2838943,2017-05-17,15,LADIESWEAR,12.0,0
2838944,2017-05-17,15,LAWN AND GARDEN,0.0,0
2838945,2017-05-17,15,LINGERIE,0.0,0
2838946,2017-05-17,15,"LIQUOR,WINE,BEER",11.0,3
2838947,2017-05-17,15,MAGAZINES,2.0,0
2838948,2017-05-17,15,MEATS,158.765,0
2838949,2017-05-17,15,PERSONAL CARE,212.0,17
2838950,2017-05-17,15,PET SUPPLIES,1.0,0
2838951,2017-05-17,15,PLAYERS AND ELECTRONICS,2.0,0
2838952,2017-05-17,15,POULTRY,154.329,0
2838953,2017-05-17,15,PREPARED FOODS,42.0,0
2838954,2017-05-17,15,PRODUCE,679.802,6
2838955,2017-05-17,15,SCHOOL AND OFFICE SUPPLIES,0.0,0
2838956,2017-05-17,15,SEAFOOD,6.0,0
2838957,2017-05-17,16,AUTOMOTIVE,7.0,0
2838958,2017-05-17,16,BABY CARE,0.0,0
2838959,2017-05-17,16,BEAUTY,2.0,1
2838960,2017-05-17,16,BEVERAGES,1155.0,18
2838961,2017-05-17,16,BOOKS,0.0,0
2838962,2017-05-17,16,BREAD/BAKERY,125.0,0
