date,store_nbr,transactions
2017-05-17,1,1795
2017-05-17,2,1913
2017-05-17,3,3110
2017-05-17,4,1399
2017-05-17,5,1230
2017-05-17,6,1588
2017-05-17,7,1821
2017-05-17,8,2813
2017-05-17,9,1893
2017-05-17,10,833
2017-05-17,11,2131
2017-05-17,12,1140
2017-05-17,13,839
2017-05-17,14,1171
2017-05-17,15,1413
2017-05-17,16,724
2017-05-17,17,1431
2017-05-17,18,1272
2017-05-17,19,1108
2017-05-17,20,1381
2017-05-17,21,969
2017-05-17,22,742
2017-05-17,23,1059
2017-05-17,24,2242
2017-05-17,25,751
2017-05-17,26,662
2017-05-17,27,1614
2017-05-17,28,1228
2017-05-17,29,1108
2017-05-17,30,770
2017-05-17,31,1269
2017-05-17,32,629
2017-05-17,33,882
2017-05-17,34,2061
2017-05-17,35,599
2017-05-17,36,999
2017-05-17,37,1607
2017-05-17,38,1398
2017-05-17,39,1222
2017-05-17,40,1367
2017-05-17,41,1084
2017-05-17,42,1201
2017-05-17,43,1281
2017-05-17,44,4389
2017-05-17,45,3553
2017-05-17,46,3096
2017-05-17,47,3549
2017-05-17,48,2489
2017-05-17,49,3017
2017-05-17,50,2220
2017-05-17,51,1742
2017-05-17,52,2024
2017-05-17,53,1026
2017-05-17,54,706
2017-05-18,1,1662
2017-05-18,2,1629
2017-05-18,3,2811
2017-05-18,4,1167
2017-05-18,5,1185
2017-05-18,6,1512
2017-05-18,7,1770
2017-05-18,8,2427
2017-05-18,9,1835
2017-05-18,10,691
2017-05-18,11,2066
2017-05-18,12,1100
2017-05-18,13,802
2017-05-18,14,1185
2017-05-18,15,1309
2017-05-18,16,696
2017-05-18,17,1227
2017-05-18,18,1169
2017-05-18,19,908
2017-05-18,20,1239
2017-05-18,21,921
2017-05-18,22,727
2017-05-18,23,931
2017-05-18,24,1962
2017-05-18,25,668
2017-05-18,26,486
2017-05-18,27,1393
2017-05-18,28,1136
2017-05-18,29,1071
2017-05-18,30,733
2017-05-18,31,1201
2017-05-18,32,605
2017-05-18,33,816
2017-05-18,34,1869
2017-05-18,35,660
2017-05-18,36,1047
2017-05-18,37,1385
2017-05-18,38,1196
2017-05-18,39,1156
2017-05-18,40,1165
2017-05-18,41,900
2017-05-18,42,1001
2017-05-18,43,1230
2017-05-18,44,3778
2017-05-18,45,3109
2017-05-18,46,2913
2017-05-18,47,3285
2017-05-18,48,2241
2017-05-18,49,2734
2017-05-18,50,2052
2017-05-18,51,1385
2017-05-18,52,1756
2017-05-18,53,957
2017-05-18,54,702
2017-05-19,1,1897
2017-05-19,2,1844
2017-05-19,3,3056
2017-05-19,4,1439
2017-05-19,5,1249
2017-05-19,6,1686
2017-05-19,7,2115
2017-05-19,8,2980
2017-05-19,9,1739
2017-05-19,10,799
2017-05-19,11,2069
2017-05-19,12,1182
2017-05-19,13,827
2017-05-19,14,1098
2017-05-19,15,1328
2017-05-19,16,675
2017-05-19,17,1235
2017-05-19,18,1232
2017-05-19,19,992
2017-05-19,20,1374
2017-05-19,21,977
2017-05-19,22,807
2017-05-19,23,1010
2017-05-19,24,2338
2017-05-19,25,872
2017-05-19,26,547
2017-05-19,27,1550
2017-05-19,28,1024
2017-05-19,29,999
2017-05-19,30,697
2017-05-19,31,1228
2017-05-19,32,599
2017-05-19,33,833
2017-05-19,34,2178
2017-05-19,35,611
2017-05-19,36,983
